X_id,timestamp,device_id,mac_address,bssid,ssid,DateTime,Hour
1,1579797998498,6103ce5f-6cc5-44fe-9487-78117aecb389,NULL,94:b4:0f:0d:01:10,cavalier,2020-01-23T16:46:38.497Z,1
2,1579798013151,6103ce5f-6cc5-44fe-9487-78117aecb389,NULL,94:b4:0f:0d:01:10,cavalier,2020-01-23T16:46:53.151Z,1
3,1579798020587,6103ce5f-6cc5-44fe-9487-78117aecb389,NULL,94:b4:0f:0d:01:10,cavalier,2020-01-23T16:47:00.586Z,1
4,1579798030789,6103ce5f-6cc5-44fe-9487-78117aecb389,NULL,94:b4:0f:0d:01:10,cavalier,2020-01-23T16:47:10.789Z,1
5,1579798090890,6103ce5f-6cc5-44fe-9487-78117aecb389,NULL,94:b4:0f:0d:01:10,cavalier,2020-01-23T16:48:10.890Z,1
6,1579798150889,6103ce5f-6cc5-44fe-9487-78117aecb389,NULL,94:b4:0f:0d:01:10,cavalier,2020-01-23T16:49:10.888Z,1
7,1579798210881,6103ce5f-6cc5-44fe-9487-78117aecb389,NULL,94:b4:0f:0d:01:10,cavalier,2020-01-23T16:50:10.881Z,1
8,1579798270832,6103ce5f-6cc5-44fe-9487-78117aecb389,NULL,94:b4:0f:0d:01:10,cavalier,2020-01-23T16:51:10.832Z,1
9,1579798330861,6103ce5f-6cc5-44fe-9487-78117aecb389,NULL,94:b4:0f:0d:01:10,cavalier,2020-01-23T16:52:10.861Z,1
10,1579798390909,6103ce5f-6cc5-44fe-9487-78117aecb389,NULL,94:b4:0f:0d:01:10,cavalier,2020-01-23T16:53:10.908Z,1
11,1579798450898,6103ce5f-6cc5-44fe-9487-78117aecb389,NULL,94:b4:0f:0d:01:10,cavalier,2020-01-23T16:54:10.898Z,1
12,1579798510887,6103ce5f-6cc5-44fe-9487-78117aecb389,NULL,94:b4:0f:0d:01:10,cavalier,2020-01-23T16:55:10.887Z,1
13,1579798571009,6103ce5f-6cc5-44fe-9487-78117aecb389,NULL,94:b4:0f:0d:01:10,cavalier,2020-01-23T16:56:11.009Z,1
14,1579798630895,6103ce5f-6cc5-44fe-9487-78117aecb389,NULL,94:b4:0f:0d:01:10,cavalier,2020-01-23T16:57:10.894Z,1
15,1579798690820,6103ce5f-6cc5-44fe-9487-78117aecb389,NULL,94:b4:0f:0d:01:10,cavalier,2020-01-23T16:58:10.819Z,1
16,1579798750946,6103ce5f-6cc5-44fe-9487-78117aecb389,NULL,94:b4:0f:0d:01:10,cavalier,2020-01-23T16:59:10.946Z,1
17,1579798810926,6103ce5f-6cc5-44fe-9487-78117aecb389,NULL,94:b4:0f:0d:01:10,cavalier,2020-01-23T17:00:10.926Z,2
18,1579798870841,6103ce5f-6cc5-44fe-9487-78117aecb389,NULL,94:b4:0f:0d:01:10,cavalier,2020-01-23T17:01:10.841Z,2
19,1579798930843,6103ce5f-6cc5-44fe-9487-78117aecb389,NULL,94:b4:0f:0d:01:10,cavalier,2020-01-23T17:02:10.842Z,2
20,1579798990921,6103ce5f-6cc5-44fe-9487-78117aecb389,NULL,94:b4:0f:0d:01:10,cavalier,2020-01-23T17:03:10.921Z,2
21,1579799050954,6103ce5f-6cc5-44fe-9487-78117aecb389,NULL,94:b4:0f:0d:01:10,cavalier,2020-01-23T17:04:10.953Z,2
22,1579799110910,6103ce5f-6cc5-44fe-9487-78117aecb389,NULL,94:b4:0f:0d:01:10,cavalier,2020-01-23T17:05:10.910Z,2
23,1579799170854,6103ce5f-6cc5-44fe-9487-78117aecb389,NULL,94:b4:0f:0d:01:10,cavalier,2020-01-23T17:06:10.854Z,2
24,1579799230916,6103ce5f-6cc5-44fe-9487-78117aecb389,NULL,94:b4:0f:0d:01:10,cavalier,2020-01-23T17:07:10.915Z,2
25,1579799290954,6103ce5f-6cc5-44fe-9487-78117aecb389,NULL,94:b4:0f:0d:01:10,cavalier,2020-01-23T17:08:10.953Z,2
26,1579799350887,6103ce5f-6cc5-44fe-9487-78117aecb389,NULL,94:b4:0f:0d:01:10,cavalier,2020-01-23T17:09:10.887Z,2
